id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	encrypted	other	default	same_default	allowed_filetypes	alphasort	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	placeholder	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
		S		alloweditaftercompletion		I																																																																																																																																											
		S		googleanalyticsstyle		0																																																																																																																																											
		S		googleanalyticsapikey																																																																																																																																													
		S		tokenencryptionoptions		"{ ""enabled"":""Y"",""columns"":{ ""firstname"":""N"",""lastname"":""N"",""email"":""N"" } }"																																																																																																																																											
		SL		surveyls_survey_id		359193		en																																																																																																																																									
		SL		surveyls_language		en		en																																																																																																																																									
		SL		surveyls_title		"A tutorial survey"		en																																																																																																																																									
		SL		surveyls_description				en																																																																																																																																									
		SL		surveyls_welcometext				en																																																																																																																																									
		SL		surveyls_endtext		"<p>That's all, thank you for your answers.</p><p>You can visit our project website to know more about our activities:</p><p> </p>"		en																																																																																																																																									
		SL		surveyls_policy_notice		"Here are some info about data policy"		en																																																																																																																																									
		SL		surveyls_policy_error		ERROR		en																																																																																																																																									
		SL		surveyls_policy_notice_label		"I agree "		en																																																																																																																																									
		SL		surveyls_legal_notice				en																																																																																																																																									
		SL		surveyls_url		https://rstyles.ifispan.edu.pl		en																																																																																																																																									
		SL		surveyls_urldescription				en																																																																																																																																									
		SL		surveyls_email_invite_subj		"Invitation to participate in a survey"		en																																																																																																																																									
		SL		surveyls_email_invite		"Dear {FIRSTNAME},<br /><br />you have been invited to participate in a survey.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}<br /><br />If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link:<br />{OPTINURL}"		en																																																																																																																																									
		SL		surveyls_email_remind_subj		"Reminder to participate in a survey"		en																																																																																																																																									
		SL		surveyls_email_remind		"Dear {FIRSTNAME},<br /><br />Recently we invited you to participate in a survey.<br /><br />We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.<br /><br />The survey is titled:<br />""{SURVEYNAME}""<br /><br />""{SURVEYDESCRIPTION}""<br /><br />To participate, please click on the link below.<br /><br />Sincerely,<br /><br />{ADMINNAME} ({ADMINEMAIL})<br /><br />----------------------------------------------<br />Click here to do the survey:<br />{SURVEYURL}<br /><br />If you do not want to participate in this survey and don't want to receive any more invitations please click the following link:<br />{OPTOUTURL}"		en																																																																																																																																									
		SL		surveyls_email_register_subj		"Survey registration confirmation"		en																																																																																																																																									
		SL		surveyls_email_register		"Dear {FIRSTNAME},<br /><br />You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.<br /><br />To complete this survey, click on the following URL:<br /><br />{SURVEYURL}<br /><br />If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}."		en																																																																																																																																									
		SL		surveyls_email_confirm_subj		"Confirmation of your participation in our survey"		en																																																																																																																																									
		SL		surveyls_email_confirm		"Dear {FIRSTNAME},<br /><br />this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.<br /><br />If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.<br /><br />Sincerely,<br /><br />{ADMINNAME}"		en																																																																																																																																									
		SL		surveyls_dateformat		9		en																																																																																																																																									
		SL		email_admin_notification_subj		"Response submission for survey {SURVEYNAME}"		en																																																																																																																																									
		SL		email_admin_notification		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}"		en																																																																																																																																									
		SL		email_admin_responses_subj		"Response submission for survey {SURVEYNAME} with results"		en																																																																																																																																									
		SL		email_admin_responses		"Hello,<br /><br />A new response was submitted for your survey '{SURVEYNAME}'.<br /><br />Click the following link to see the individual response:<br />{VIEWRESPONSEURL}<br /><br />Click the following link to edit the individual response:<br />{EDITRESPONSEURL}<br /><br />View statistics by clicking here:<br />{STATISTICSURL}<br /><br /><br />The following answers were given by the participant:<br />{ANSWERTABLE}"		en																																																																																																																																									
		SL		surveyls_numberformat		0		en																																																																																																																																									
6		G	1	Consent				en																																																																																																																																									
69		Q	M	Consent	1	"<p>You need to express a consent to collect log-data to proceed to the questionnaire.</p><p>To do so, mark the checkbox below.</p>"		en		Y	N	N		0							0	1																													0	0	0																																0		0					0		0						0																					0	1																							
71		SQ		logdata	1	"Thereby I agree to collect and further analyze my responses and so-called log-data describing my interactions with the survey interface for the purpose of condcting the workshop RStyles by the Institute of Philosophy and Sociology Polish Academy of Sciences."		en				N		0																																																																																																																																			
3		G	2	"Cognitive Reflection Task (Frederick, 2005; Shenhav et al. 2012) "		"<p>In the following section, you will be asked several questions. Please do your best to answer them as<br />accurately as possible.</p>"		en																																																																																																																																									
9		Q	K	Q1	1	"<p>Please answer the following problems.</p>"		en		Y	N	N		0							0																															0	0			11																										0					0					0		0													f1ae		1	0	0		0		0		0	0	|	0	0	1				3																			1
52		SQ		Q201	1	"The ages of Mark and Adam add up to 28 years total. Mark is 20 years older than Adam. How many years old is Adam? "		en				N		0																																																																																																																																			
53		SQ		Q202	1	"If it takes 10 seconds for 10 printers to print out 10 pages of paper, how many seconds will it take 50 printers to print out 50 pages of paper?"		en				N		0																																																																																																																																			
54		SQ		Q203	1	"On a loaf of bread, there is a patch of mould. Every day, the patch doubles in size. If it takes 40 days for the patch to cover the entire loaf of bread, how many days would it take for the patch to cover half of the loaf of bread?"		en				N		0																																																																																																																																			
63		Q	T	logScreen1	1			en		N	N	N		0														logdata_container																								0	0																																		0																																		0	1						1		0	0														
4		G	3	"Follow up questions"		"Please provide some information abut your previous answers."		en																																																																																																																																									
10		Q	N	Q2	1	"<p>You have just answered three reasoning problems. How many of them do you think you answered correctly?</p>"		en		Y	N	N		0																																						0	0																		3		1				0					1					0					0																													0	1				1																			
11		Q	L	Q3	1	"<p>Have you seen any of them before?</p>"		en		N	N	N		0		0					0																															0	0																															0	0		0					0		0						0																					0	1						1		0	0														
11		A	0	2		Yes		en														0																																																																																																																											
11		A	0	1		Maybe		en														0																																																																																																																											
11		A	0	0		No		en														0																																																																																																																											
64		Q	T	logScreen2	1			en		N	N	N		0														logdata_container																								0	0																																		0																																		0	1						1		0	0														
2		G	4	"New General Self-Efficacy Scale (NGSE; Chen et al. 2001)"	1			en																																																																																																																																									
8		Q	F	Q4	1	"<p>Please select the option that best corresponds to how much you agree with each item.<br />1 = strongly disagree<br />2 = disagree<br />3 = neither agree nor disagree<br />4 = agree<br />5 = strongly agree</p>"		en		Y	N	N		0							0																															0	0																																		0					0		1						3																					0	0																						0	
55		SQ		Q101	1	"I will be able to achieve most of the goals that I have set for myself."		en				N		0																																																																																																																																			
56		SQ		Q102	1	"When facing difficult tasks, I am certain that I will accomplish them."		en				N		0																																																																																																																																			
57		SQ		Q103	1	"In general, I think that I can obtain outcomes that are important to me."		en				N		0																																																																																																																																			
58		SQ		Q104	1	"I believe I can succeed at most any endeavour to which I set my mind."		en				N		0																																																																																																																																			
59		SQ		Q105	1	"I will be able to successfully overcome many challenges."		en				N		0																																																																																																																																			
60		SQ		Q106	1	"I am confident that I can perform effectively on many different tasks."		en				N		0																																																																																																																																			
61		SQ		Q107	1	"Compared to other people, I can do most tasks very well."		en				N		0																																																																																																																																			
62		SQ		Q108	1	"Even when things are tough, I can perform quite well"		en				N		0																																																																																																																																			
8		A	0	1		"1 = strongly disagree"		en														0																																																																																																																											
8		A	0	2		"2 = disagree"		en														0																																																																																																																											
8		A	0	3		"3 = neither agree nor disagree"		en														0																																																																																																																											
8		A	0	4		"4 = agree"		en														0																																																																																																																											
8		A	0	5		"5 = strongly agree"		en														0																																																																																																																											
65		Q	T	logScreen3	1			en		N	N	N		0														logdata_container																								0	0																																		0																																		0	1						1		0	0														
5		G	5	"General information"		"Please provide some information about yourself. "		en																																																																																																																																									
13		Q	!	Education	1	"What is your education level?"		en		N	N	N		0		0																						0														0	0																															0			0					0		0						0																					0	1						1		0	0														
13		A	0	1		"Elementary/secondary education"		en														0																																																																																																																											
13		A	0	2		"Post-secondary non-tertiary or tertiary education"		en														0																																																																																																																											
13		A	0	3		"Bachelor's degree or equivalent"		en														0																																																																																																																											
13		A	0	4		"Master's degree or equivalent	"		en														0																																																																																																																											
13		A	0	5		"Doctorate degree or equivalent	"		en														0																																																																																																																											
12		Q	G	Gender	1	"Select your gender indentification."		en		N	N	N		0																				0																		0	0																																		0					0								0																					0	1																							
14		Q	L	Age	1	"What is your age?"		en		N	N	N		0		0					0	1																													0	0	0																															0	0		0					0		0						0																					0	1						1		0	0														
14		A	0	AO01		18-35		en														0																																																																																																																											
14		A	0	AO02		36-50		en														0																																																																																																																											
14		A	0	AO03		51-65		en														0																																																																																																																											
14		A	0	AO04		66+		en														0																																																																																																																											
15		Q	S	Profession	1	"What is your profession? Please, write it down below."		en		N	N	N		0							0																															0	0				0	0		300	0	500	11	0	0	0																	0				0							0																											0	1	1					1		0	0														
67		Q	L	Device	1	"What pointing device you (primarily) use while answering this survey?"		en		Y	N	N		0		0					0																															0	0																															0	0		0					0		0						0																					0	1						1		0	0														
67		A	0	mouse		Mouse		en														0																																																																																																																											
67		A	0	track		Trackpad		en														0																																																																																																																											
67		A	0	touch		"Touch screen"		en														0																																																																																																																											
67		A	0	keyb		"Keyboard only"		en														0																																																																																																																											
67		A	0	else		"Something else"		en														0																																																																																																																											
68		Q	Y	Lags	1	"Have you encountered <em>lags</em> in responses of the survey interface during an interview or some other technical difficulties?"		en		Y	N	N		0																				1																		0	0																																		0					0								0																					0	1																							
66		Q	T	logScreen4	1			en		N	N	N		0														logdata_container																								0	0																																		0																																		0	1						1		0	0														
